"","gene","snp","association_id","pvalue","standard_error","beta_number","range","traits","efo_id"
"215","APOE","rs56394238","31666888",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"216","APOE","rs438811","31394692",0,0.02,1.24,"[1.2-1.28]","blood protein measurement","EFO_0007937"
"217","APOE","rs142092405","41168818",6e-12,NA,6.8754373,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"218","APOE","rs112262807","31667372",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"219","APOE","rs283811","21430333",1e-15,NA,NA,"[2.02-3.24]","Alzheimer's disease","EFO_0000249"
"220","APOE","rs390082","31587099",3e-29,0.008686,0.09747,"[0.08-0.114]","triglyceride measurement","EFO_0004530"
"221","APOE","rs34878901",NA,NA,NA,NA,NA,NA,NA
"222","CRP","rs12755606","17459407",4e-120,NA,NA,NA,"c-reactive protein measurement, triglyceride measurement","EFO_0004458, EFO_0004530"
"223","CRP","rs34197548","21536056",9e-06,0.0657,0.2938,"[0.17-0.42]","growth-regulated alpha protein measurement","EFO_0008146"
"224","CRP","rs2808630","5862",7e-06,NA,NA,"[1.10-1.35]","lung carcinoma","EFO_0001071"
"225","CRP","rs16827466","23440",4e-73,0.023,0.4199,"[0.37-0.46]","c-reactive protein measurement","EFO_0004458"
"226","CRP","rs12068753","10071071",1e-13,0.52,3.97,"[2.95-4.99]","c-reactive protein measurement, mucocutaneous lymph node syndrome","EFO_0004458, EFO_0004246"
"227","CRP","rs188600252","17417115",1e-06,NA,0.14,NA,"femoral neck bone mineral density","EFO_0007785"
"228","CRP","rs876538","61692070",2e-06,NA,NA,"[1.09-1.2]","attention deficit hyperactivity disorder","EFO_0003888"
"229","CRP","rs140351080","21540676",5e-06,0.0211,0.0978,"[0.056-0.139]","CCL2 measurement","EFO_0004749"
"230","CRP","rs116073407","61998332",9e-16,0.00879446,0.0706692,"[0.053-0.088]","c-reactive protein measurement","EFO_0004458"
"231","CRP","rs7551731","41430468",0,0.004,0.186,"[0.18-0.19]","c-reactive protein measurement","EFO_0004458"
"232","CRP","rs2592902","47262312",8e-102,0.008551968,0.1832233,"[0.17-0.2]","c-reactive protein measurement","EFO_0004458"
"233","CRP","rs11265260","47262244",2e-23,0.01651035,0.1648213,"[0.13-0.2]","c-reactive protein measurement","EFO_0004458"
"234","CRP","rs3091244","41430683",0,0.004,0.169,"[0.16-0.18]","c-reactive protein measurement","EFO_0004458"
"235","CRP","rs72700609","31398479",5e-90,0.04,0.75,"[0.67-0.83]","blood protein measurement","EFO_0007937"
"236","CRP","rs12093699","47262260",7e-15,0.008936312,0.06949826,"[0.052-0.087]","c-reactive protein measurement","EFO_0004458"
"237","CRP","rs1130864",NA,NA,NA,NA,NA,NA,NA
"238","CRP","rs79551159","47447690",8e-07,NA,1.37,"[0.98-2.27]","c-reactive protein measurement","EFO_0004458"
"239","CRP","rs3093059","17012",4e-21,NA,0.161,"[0.13-0.19]","c-reactive protein measurement","EFO_0004458"
"240","CRP","rs149520992","41430664",2e-13,0.034,0.252,"[0.19-0.32]","c-reactive protein measurement","EFO_0004458"
"241","CRP","rs79828990","34840062",7e-06,0.0075664,0.034045,"[0.019-0.049]","reaction time measurement","EFO_0008393"
"242","CRP","rs3093068","31588535",1e-64,0.007486,0.1272,"[0.11-0.14]","c-reactive protein measurement","EFO_0004458"
"243","CRP","rs72698571","41430669",4e-66,0.008,0.129,"[0.11-0.14]","c-reactive protein measurement","EFO_0004458"
"244","CRP","rs2794519","31588558",2e-07,0.006599,0.03446,"[0.022-0.047]","c-reactive protein measurement","EFO_0004458"
"245","CRP","rs61821567","61998328",2e-20,0.00590248,0.0548272,"[0.043-0.066]","c-reactive protein measurement","EFO_0004458"
"246","CRP","rs78767552",NA,NA,NA,NA,NA,NA,NA
"247","CRP","rs1800947","41430679",2e-200,0.01,0.298,"[0.28-0.32]","c-reactive protein measurement","EFO_0004458"
"248","CRP","rs4131568","41430697",6e-107,0.004,0.096,"[0.088-0.104]","c-reactive protein measurement","EFO_0004458"
"249","CRP","rs4255379","61998344",2e-145,0.00204484,0.0525035,"[0.048-0.057]","c-reactive protein measurement","EFO_0004458"
"250","CRP","rs12749227","41436230",1e-180,NA,0.152,NA,"c-reactive protein measurement","EFO_0004458"
"251","CRP","rs4287174","63154701",2e-14,0.026940484,0.20718846,"[0.15-0.26]","blood protein measurement","EFO_0007937"
"252","CRP","rs2246469","41430688",6e-27,0.004,0.046,"[0.038-0.054]","c-reactive protein measurement","EFO_0004458"
"253","CRP","rs7553007","47262376",7e-107,0.008738741,0.1918928,"[0.17-0.21]","c-reactive protein measurement","EFO_0004458"
"254","CRP","rs10908741","62071803",5e-08,NA,NA,NA,"neurofibrillary tangles measurement","EFO_0006797"
"255","CRP","rs10494326","47262228",2e-109,0.0175228,0.3896071,"[0.36-0.42]","c-reactive protein measurement","EFO_0004458"
"256","CRP","rs2808634","24519",3e-10,0.024,0.153,"[0.11-0.20]","c-reactive protein measurement","EFO_0004458"
"257","CRP","rs80272044","61998340",6e-144,0.00859816,0.219651,"[0.2-0.24]","c-reactive protein measurement","EFO_0004458"
"258","CRP","rs16842559","47262280",4e-25,0.01857853,0.1924735,"[0.16-0.23]","c-reactive protein measurement","EFO_0004458"
"259","CRP","rs726640","47262364",6e-117,0.01801565,0.4141669,"[0.38-0.45]","c-reactive protein measurement","EFO_0004458"
"260","CRP","rs58240276","31395728",3e-92,0.03,0.61,"[0.55-0.67]","blood protein measurement","EFO_0007937"
"261","CRP","rs4233356","18681",9e-06,NA,NA,"[1.64-3.84]","interstitial lung disease","EFO_0004244"
"262","CRP","rs12029262","41430674",3e-72,0.007,0.129,"[0.12-0.14]","c-reactive protein measurement","EFO_0004458"
"263","CRP","rs1341665","47262276",1e-97,0.008762981,0.1837559,"[0.17-0.2]","c-reactive protein measurement","EFO_0004458"
"264","CRP","rs1205","64698603",2e-157,0.0046,0.123,"[0.11-0.13]","c-reactive protein measurement","EFO_0004458"
"265","CRP","rs876537","47262400",3e-100,0.008670307,0.1842309,"[0.17-0.2]","c-reactive protein measurement","EFO_0004458"
