"","gene","snp","association_id","pvalue","standard_error","beta_number","range","traits","efo_id"
"269","APOE","rs741780",NA,NA,NA,NA,NA,NA,NA
"270","APOE","rs395908","35814733",3e-97,NA,0.136,NA,"low density lipoprotein cholesterol measurement","EFO_0004611"
"271","APOE","rs204474","55278616",2e-15,0.001025,0.007205,"[0.0052-0.0092]","high density lipoprotein cholesterol measurement, sleep duration","EFO_0004612, EFO_0005271"
"272","APOE","rs8106813","31667488",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"273","APOE","rs2972558","31667444",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"274","APOE","rs10426423","36141685",3e-06,0.060334,NA,"[1.15-1.38]","Alzheimer's disease","EFO_0000249"
"275","APOE","rs141441332","55477980",1e-11,NA,NA,"[1.96-3.38]","Alzheimer's disease","EFO_0000249"
"276","APOE","rs142412517","41168809",2e-12,NA,7.033927,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"277","APOE","rs283810","55280507",4e-29,0.4486,4.262,"[3.38-5.14]","low density lipoprotein cholesterol measurement, sleep duration","EFO_0004611, EFO_0005271"
"278","APOE","rs60049679","31400530",2e-70,NA,NA,NA,"family history of Alzheimer’s disease","EFO_0009268"
"279","APOE","rs148303016","61999964",2e-39,0.00460065,0.0604872,"[0.051-0.07]","c-reactive protein measurement","EFO_0004458"
"280","APOE","rs10402271","35814723",2e-58,NA,0.081,NA,"low density lipoprotein cholesterol measurement","EFO_0004611"
"282","APOE","rs184017","35789251",3e-10,NA,0.15,NA,"cerebral amyloid deposition measurement","EFO_0007707"
"283","APOE","rs2927468","31667432",4e-108,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"284","APOE","rs3852860","31666928",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"285","APOE","rs28399607","61999952",2e-25,0.00468477,0.0488741,"[0.04-0.058]","c-reactive protein measurement","EFO_0004458"
"286","APOE","rs11556505","35789176",2e-15,NA,0.13,NA,"cerebral amyloid deposition measurement","EFO_0007707"
"287","APOE","rs41290100","41168762",2e-15,NA,7.9216814,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"288","APOE","rs1130742","31390086",5e-72,0.03,0.49,"[0.43-0.55]","blood protein measurement","EFO_0007937"
"290","APOE","rs445925","21413839",1e-129,0.021,0.523,"[0.48-0.56]","low density lipoprotein cholesterol measurement","EFO_0004611"
"291","APOE","rs6857","56273791",0,0.00275941,0.157677,"[0.15-0.16]","low density lipoprotein cholesterol measurement","EFO_0004611"
"292","APOE","rs204469","56274626",9e-09,0.00511875,0.0294656,"[0.019-0.039]","low density lipoprotein cholesterol measurement","EFO_0004611"
"293","APOE","rs412776","31666920",5e-15,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"294","APOE","rs283815","36141777",9e-23,0.033836,NA,NA,"Alzheimer's disease","EFO_0000249"
"295","APOE","rs519113","33529",5e-39,NA,NA,"[1.87-2.34]","Alzheimer's disease","EFO_0000249"
"296","APOE","rs113743631","56277645",3e-17,0.00754799,0.0637083,"[0.049-0.079]","apolipoprotein B measurement","EFO_0004615"
"297","APOE","rs365653","31666948",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"298","APOE","rs1038025",NA,NA,NA,NA,NA,NA,NA
"299","APOE","rs204914","61999992",4e-33,0.00491868,0.0589887,"[0.049-0.069]","c-reactive protein measurement","EFO_0004458"
"300","APOE","rs138692741","56277440",3e-36,0.00569026,0.0715279,"[0.06-0.083]","apolipoprotein B measurement","EFO_0004615"
"301","APOE","rs35194062","64675704",8e-18,NA,0.198766,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"302","APOE","rs1081105","41168616",1e-231,NA,32.50298,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"303","APOE","rs547509922","41168788",3e-13,NA,7.314314,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"304","APOE","rs17561351","64401660",5e-14,0.0046529965,0.03503118,"[0.026-0.044]","platelet crit","EFO_0007985"
"305","APOE","rs28399664","55477985",6e-16,NA,NA,"[2.06-3.26]","Alzheimer's disease","EFO_0000249"
"306","APOE","rs144311893","56271711",1e-70,0.00690512,0.122774,"[0.11-0.14]","apolipoprotein a 1 measurement","EFO_0004614"
"307","APOE","rs139136389","61999984",8e-21,0.00753855,0.0705787,"[0.056-0.085]","c-reactive protein measurement","EFO_0004458"
"308","APOE","rs3112440","64675692",2e-14,NA,0.102341,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"309","APOE","rs7412","64699830",0,0.0091,0.576,"[0.56-0.59]","low density lipoprotein cholesterol measurement","EFO_0004611"
"310","APOE","rs34404554","35789171",2e-15,NA,0.13,NA,"cerebral amyloid deposition measurement","EFO_0007707"
"311","APOE","rs118147862","80057081",1e-300,0.0082,0.3977,"[0.38-0.41]","low density lipoprotein cholesterol measurement","EFO_0004611"
"312","APOE","rs77301115","41640049",7e-74,NA,NA,NA,"Alzheimer's disease, high density lipoprotein cholesterol measurement","EFO_0000249, EFO_0004612"
"313","APOE","rs157595","41640036",1e-97,NA,NA,NA,"Alzheimer's disease, high density lipoprotein cholesterol measurement","EFO_0000249, EFO_0004612"
"314","APOE","rs138235833","31667504",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"315","APOE","rs283813","64675710",8e-28,NA,0.20705,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"316","APOE","rs204480","41168887",6e-09,NA,5.81275,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"317","APOE","rs157588","35814743",7e-10,NA,0.103,NA,"low density lipoprotein cholesterol measurement","EFO_0004611"
"318","APOE","rs3745150","64083015",3e-09,0.0022749577,0.013501041,"[0.009-0.018]","lymphocyte count","EFO_0004587"
"320","APOE","rs147711004","55735655",2e-09,NA,NA,NA,"body mass index","EFO_0004340"
"321","APOE","rs7260330","31398455",2e-16,0.03,0.24,"[0.18-0.3]","blood protein measurement","EFO_0007937"
"322","APOE","rs41290108","61999960",1e-25,0.00520062,0.0544411,"[0.044-0.065]","c-reactive protein measurement","EFO_0004458"
"323","APOE","rs112283362","61999956",2e-08,0.0082936,0.0465808,"[0.03-0.063]","c-reactive protein measurement","EFO_0004458"
"324","APOE","rs10405693","36141567",3e-14,0.030243,NA,NA,"Alzheimer's disease","EFO_0000249"
"325","APOE","rs814573","31399560",5e-15,0.03,0.25,"[0.19-0.31]","blood protein measurement","EFO_0007937"
"326","APOE","rs1871047","64652193",2e-09,0.00192,0.0113,"[0.0075-0.0151]","urate measurement","EFO_0004531"
"327","APOE","rs769450","36141700",6e-19,0.079488,NA,"[1.44-1.75]","Alzheimer's disease","EFO_0000249"
"328","APOE","rs10119","31400337",1e-307,NA,NA,"[1.41, 1.46]","family history of Alzheimer’s disease","EFO_0009268"
"329","APOE","rs1160984","41168719",2e-20,NA,9.292308,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"330","APOE","rs1135062","31667388",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"331","APOE","rs4452060","56273809",0,0.00210522,0.0833597,"[0.079-0.087]","low density lipoprotein cholesterol measurement","EFO_0004611"
"332","APOE","rs11668738","31667440",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"333","APOE","rs73050293","31667448",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"335","APOE","rs141622900","63369758",1e-31,0.0124084,0.145241,"[0.12-0.17]","coronary artery disease","EFO_0001645"
"336","APOE","rs115881343","38722",4e-09,NA,0.044,"[.02931-.0585]","Mental deterioration","HP_0001268"
"337","APOE","rs138607350","64675715",4e-102,NA,1.03437,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"338","APOE","rs157582","36141400",4e-63,0.020682,NA,NA,"Alzheimer's disease","EFO_0000249"
"339","APOE","rs41290120","38507966",0,NA,NA,NA,"low density lipoprotein cholesterol measurement, physical activity","EFO_0004611, EFO_0003940"
"340","APOE","rs140824606","31667380",4e-26,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"341","APOE","rs406456","31667460",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"342","APOE","rs4420638","41430296",1e-305,0.006,0.229,"[0.22-0.24]","c-reactive protein measurement","EFO_0004458"
"343","APOE","rs9304644","31666976",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"344","APOE","rs1160985","62303686",2e-27,NA,9.23,NA,"low density lipoprotein cholesterol measurement","EFO_0004611"
"345","APOE","rs59325138","31666940",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"346","APOE","rs1160983","55735474",3e-09,NA,NA,NA,"body mass index","EFO_0004340"
"347","APOE","rs157591",NA,NA,NA,NA,NA,NA,NA
"348","APOE","rs73048293",NA,NA,NA,NA,NA,NA,NA
"349","APOE","rs4803774","64675686",5e-15,NA,0.0747163,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"351","APOE","rs79429216","31399403",7e-45,0.11,1.5,"[1.28-1.72]","blood protein measurement","EFO_0007937"
"352","APOE","rs73045691","31666972",2e-19,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"353","APOE","rs429358","41430763",0,0.006,0.247,"[0.24-0.26]","c-reactive protein measurement","EFO_0004458"
"354","APOE","rs35396326","47885265",2e-08,0.0044281,0.024742,"[0.016-0.033]","urate measurement","EFO_0004531"
"355","APOE","rs10412413","31667392",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"356","APOE","rs12972156","35789217",4e-12,NA,0.17,NA,"cerebral amyloid deposition measurement","EFO_0007707"
"357","APOE","rs769446","31579877",2.96439387504748e-322,0.0134,0.5141,"[0.49-0.54]","low density lipoprotein cholesterol measurement","EFO_0004611"
"358","APOE","rs387976","62654104",4e-11,0.002015,0.013305,"[0.0094-0.0173]","mean corpuscular hemoglobin concentration","EFO_0004528"
"360","APOE","rs393584","31666912",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"361","APOE","rs146275714","64675721",1e-300,NA,1.11415,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"362","APOE","rs56394238","31666888",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"363","APOE","rs438811","31394692",0,0.02,1.24,"[1.2-1.28]","blood protein measurement","EFO_0007937"
"364","APOE","rs142092405","41168818",6e-12,NA,6.8754373,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"365","APOE","rs112262807","31667372",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"366","APOE","rs283811","21430333",1e-15,NA,NA,"[2.02-3.24]","Alzheimer's disease","EFO_0000249"
"368","APOE","rs34878901",NA,NA,NA,NA,NA,NA,NA
"369","CRP","rs12755606","17459407",4e-120,NA,NA,NA,"c-reactive protein measurement, triglyceride measurement","EFO_0004458, EFO_0004530"
"370","CRP","rs34197548","21536056",9e-06,0.0657,0.2938,"[0.17-0.42]","growth-regulated alpha protein measurement","EFO_0008146"
"371","CRP","rs2808630","5862",7e-06,NA,NA,"[1.10-1.35]","lung carcinoma","EFO_0001071"
"372","CRP","rs16827466","23440",4e-73,0.023,0.4199,"[0.37-0.46]","c-reactive protein measurement","EFO_0004458"
"373","CRP","rs12068753","10071071",1e-13,0.52,3.97,"[2.95-4.99]","c-reactive protein measurement, mucocutaneous lymph node syndrome","EFO_0004458, EFO_0004246"
"374","CRP","rs188600252","17417115",1e-06,NA,0.14,NA,"femoral neck bone mineral density","EFO_0007785"
"375","CRP","rs876538","61692070",2e-06,NA,NA,"[1.09-1.2]","attention deficit hyperactivity disorder","EFO_0003888"
"376","CRP","rs140351080","21540676",5e-06,0.0211,0.0978,"[0.056-0.139]","CCL2 measurement","EFO_0004749"
"377","CRP","rs116073407","61998332",9e-16,0.00879446,0.0706692,"[0.053-0.088]","c-reactive protein measurement","EFO_0004458"
"378","CRP","rs7551731","41430468",0,0.004,0.186,"[0.18-0.19]","c-reactive protein measurement","EFO_0004458"
"379","CRP","rs2592902","47262312",8e-102,0.008551968,0.1832233,"[0.17-0.2]","c-reactive protein measurement","EFO_0004458"
"380","CRP","rs11265260","47262244",2e-23,0.01651035,0.1648213,"[0.13-0.2]","c-reactive protein measurement","EFO_0004458"
"381","CRP","rs3091244","41430683",0,0.004,0.169,"[0.16-0.18]","c-reactive protein measurement","EFO_0004458"
"382","CRP","rs72700609","31398479",5e-90,0.04,0.75,"[0.67-0.83]","blood protein measurement","EFO_0007937"
"383","CRP","rs12093699","47262260",7e-15,0.008936312,0.06949826,"[0.052-0.087]","c-reactive protein measurement","EFO_0004458"
"384","CRP","rs1130864",NA,NA,NA,NA,NA,NA,NA
"385","CRP","rs79551159","47447690",8e-07,NA,1.37,"[0.98-2.27]","c-reactive protein measurement","EFO_0004458"
"386","CRP","rs3093059","17012",4e-21,NA,0.161,"[0.13-0.19]","c-reactive protein measurement","EFO_0004458"
"387","CRP","rs149520992","41430664",2e-13,0.034,0.252,"[0.19-0.32]","c-reactive protein measurement","EFO_0004458"
"388","CRP","rs79828990","34840062",7e-06,0.0075664,0.034045,"[0.019-0.049]","reaction time measurement","EFO_0008393"
"389","CRP","rs3093068","31588535",1e-64,0.007486,0.1272,"[0.11-0.14]","c-reactive protein measurement","EFO_0004458"
"390","CRP","rs72698571","41430669",4e-66,0.008,0.129,"[0.11-0.14]","c-reactive protein measurement","EFO_0004458"
"391","CRP","rs2794519","31588558",2e-07,0.006599,0.03446,"[0.022-0.047]","c-reactive protein measurement","EFO_0004458"
"392","CRP","rs61821567","61998328",2e-20,0.00590248,0.0548272,"[0.043-0.066]","c-reactive protein measurement","EFO_0004458"
"393","CRP","rs78767552","62312650",3e-10,NA,5.907,NA,"protein measurement","EFO_0004747"
"394","CRP","rs1800947","41430679",2e-200,0.01,0.298,"[0.28-0.32]","c-reactive protein measurement","EFO_0004458"
"395","CRP","rs4131568","41430697",6e-107,0.004,0.096,"[0.088-0.104]","c-reactive protein measurement","EFO_0004458"
"396","CRP","rs4255379","61998344",2e-145,0.00204484,0.0525035,"[0.048-0.057]","c-reactive protein measurement","EFO_0004458"
"397","CRP","rs12749227","41436230",1e-180,NA,0.152,NA,"c-reactive protein measurement","EFO_0004458"
"398","CRP","rs4287174","63154701",2e-14,0.026940484,0.20718846,"[0.15-0.26]","blood protein measurement","EFO_0007937"
"399","CRP","rs2246469","41430688",6e-27,0.004,0.046,"[0.038-0.054]","c-reactive protein measurement","EFO_0004458"
"400","CRP","rs7553007","47262376",7e-107,0.008738741,0.1918928,"[0.17-0.21]","c-reactive protein measurement","EFO_0004458"
"401","CRP","rs10908741","62071803",5e-08,NA,NA,NA,"neurofibrillary tangles measurement","EFO_0006797"
"402","CRP","rs10494326","47262228",2e-109,0.0175228,0.3896071,"[0.36-0.42]","c-reactive protein measurement","EFO_0004458"
"403","CRP","rs2808634","24519",3e-10,0.024,0.153,"[0.11-0.20]","c-reactive protein measurement","EFO_0004458"
"404","CRP","rs80272044","61998340",6e-144,0.00859816,0.219651,"[0.2-0.24]","c-reactive protein measurement","EFO_0004458"
"405","CRP","rs16842559","47262280",4e-25,0.01857853,0.1924735,"[0.16-0.23]","c-reactive protein measurement","EFO_0004458"
"406","CRP","rs726640","47262364",6e-117,0.01801565,0.4141669,"[0.38-0.45]","c-reactive protein measurement","EFO_0004458"
"407","CRP","rs58240276","31395728",3e-92,0.03,0.61,"[0.55-0.67]","blood protein measurement","EFO_0007937"
"408","CRP","rs4233356","18681",9e-06,NA,NA,"[1.64-3.84]","interstitial lung disease","EFO_0004244"
"409","CRP","rs12029262","41430674",3e-72,0.007,0.129,"[0.12-0.14]","c-reactive protein measurement","EFO_0004458"
"410","CRP","rs1341665","47262276",1e-97,0.008762981,0.1837559,"[0.17-0.2]","c-reactive protein measurement","EFO_0004458"
"411","CRP","rs1205","64698603",2e-157,0.0046,0.123,"[0.11-0.13]","c-reactive protein measurement","EFO_0004458"
"412","CRP","rs876537","47262400",3e-100,0.008670307,0.1842309,"[0.17-0.2]","c-reactive protein measurement","EFO_0004458"
"413","APCS","rs9662662","21536051",2e-09,0.0259,0.1548,"[0.1-0.21]","growth-regulated alpha protein measurement","EFO_0008146"
"414","APCS","rs34197548","21536056",9e-06,0.0657,0.2938,"[0.17-0.42]","growth-regulated alpha protein measurement","EFO_0008146"
"415","APCS","rs10908733","21535427",2e-09,0.0232,0.1387,"[0.093-0.184]","eotaxin measurement","EFO_0008122"
"416","APCS","rs4325129","28913",6e-06,NA,0.03,NA,"CCL2 measurement","EFO_0004749"
"417","APCS","rs16827466","23440",4e-73,0.023,0.4199,"[0.37-0.46]","c-reactive protein measurement","EFO_0004458"
"418","APCS","rs6702567","47486952",5e-06,NA,NA,NA,"acute myeloid leukemia","EFO_0000222"
"419","APCS","rs2084257","47486952",5e-06,NA,NA,NA,"acute myeloid leukemia","EFO_0000222"
"420","APCS","rs6659792","47486952",5e-06,NA,NA,NA,"acute myeloid leukemia","EFO_0000222"
"421","APCS","rs10494324","47486952",5e-06,NA,NA,NA,"acute myeloid leukemia","EFO_0000222"
"422","APCS","rs10494325","47486952",5e-06,NA,NA,NA,"acute myeloid leukemia","EFO_0000222"
"423","APCS","rs11265230","21540670",2e-11,0.0216,0.1456,"[0.1-0.19]","CCL2 measurement","EFO_0004749"
"424","APCS","rs2592902","47262312",8e-102,0.008551968,0.1832233,"[0.17-0.2]","c-reactive protein measurement","EFO_0004458"
"425","APCS","rs1470516","34708455",2e-08,0.0013,0.0074,"[0.0049-0.0099]","self reported educational attainment","EFO_0004784"
"426","APCS","rs10494326","47262228",2e-109,0.0175228,0.3896071,"[0.36-0.42]","c-reactive protein measurement","EFO_0004458"
"427","APCS","rs16842320","61998324",8e-57,0.00664386,0.105535,"[0.093-0.119]","c-reactive protein measurement","EFO_0004458"
"428","APCS","rs12093699","47262260",7e-15,0.008936312,0.06949826,"[0.052-0.087]","c-reactive protein measurement","EFO_0004458"
"429","APCS","rs1037144","34718463",1e-08,0.0017,0.0095,"[0.0062-0.0128]","mathematical ability","EFO_0004875"
"430","APCS","rs10797037","47879413",2e-06,NA,0.19,"[0.11-0.26]","chromosomal aberration frequency","EFO_0009860"
"431","APCS","rs71632673","31398391",2e-24,0.08,0.84,"[0.68-1]","blood protein measurement","EFO_0007937"
"432","APCS","rs79551159","47447690",8e-07,NA,1.37,"[0.98-2.27]","c-reactive protein measurement","EFO_0004458"
"433","APCS","rs726640","47262364",6e-117,0.01801565,0.4141669,"[0.38-0.45]","c-reactive protein measurement","EFO_0004458"
"434","APCS","rs79828990","34840062",7e-06,0.0075664,0.034045,"[0.019-0.049]","reaction time measurement","EFO_0008393"
"435","APCS","rs116073407","61998332",9e-16,0.00879446,0.0706692,"[0.053-0.088]","c-reactive protein measurement","EFO_0004458"
"436","APCS","rs75285799",NA,NA,NA,NA,NA,NA,NA
"437","APCS","rs61821567","61998328",2e-20,0.00590248,0.0548272,"[0.043-0.066]","c-reactive protein measurement","EFO_0004458"
"438","APCS","rs112689575","61998320",5e-13,0.00720459,0.0519924,"[0.038-0.066]","c-reactive protein measurement","EFO_0004458"
"439","APCS","rs4641306","61998308",2e-16,0.00683332,0.0562066,"[0.043-0.07]","c-reactive protein measurement","EFO_0004458"
"441","CD36","rs10499859","13242",3e-06,NA,0.091,NA,"left ventricular structural measurement","EFO_0008205"
"442","CD36","rs7795231","62074062",2e-09,NA,NA,NA,"diffuse plaque measurement","EFO_0010699"
"443","CD36","rs10230573","15728455",5e-09,NA,NA,NA,"age-related hearing impairment","EFO_0005782"
"444","CD36","rs799979","15745590",3e-08,0.1336,0.7513,"[0.49-1.01]","cognitive decline measurement, cognitive impairment","EFO_0007710, HP_0100543"
"445","CD36","rs11574703","23126",8e-08,0.68,3.72,"[2.39-5.05]","response to fenofibrate","GO_1901557"
"446","CD36","rs3211928",NA,NA,NA,NA,NA,NA,NA
"447","CD36","rs111747875","56295401",3e-06,0.0152,NA,"[1.04-1.1]","unipolar depression","EFO_0003761"
"448","CD36","rs3211932","62653144",4e-10,0.001941,0.012119,"[0.0083-0.0159]","mean corpuscular hemoglobin concentration","EFO_0004528"
"449","CD36","rs144501645","78853064",5e-06,NA,NA,"[1.36199999999999-2.161]","coronary artery disease, Ischemic stroke, rare dyslipidemia","EFO_0001645, HP_0002140, Orphanet_101953"
"451","CD36","rs7797401","21891723",6e-22,0.003658713,0.03522368,"[0.028-0.042]","red blood cell distribution width","EFO_0005192"
"452","CD36","rs3211931","36507754",9e-19,NA,NA,NA,"erythrocyte count","EFO_0004305"
"453","CD36","rs71835930","64204176",7e-10,0.0045733107,0.028193384,"[0.019-0.037]","basophil count","EFO_0005090"
"454","CD36","rs3211958","64408722",4e-10,0.0024295207,0.015174541,"[0.01-0.02]","mean corpuscular volume","EFO_0004526"
"456","CD36","rs11768817","62498772",3e-09,NA,NA,NA,"basophil count","EFO_0005090"
"457","CD36","rs11974777","62506999",7e-10,NA,NA,NA,"myeloid white cell count","EFO_0007988"
"458","CD36","rs144517871","55678508",4e-12,0.181462,1.25619,"[0.9-1.61]","CCL24 measurement","EFO_0009418"
"459","CD36","rs2177616","31583795",1e-06,0.004269,0.02081,"[0.012-0.029]","platelet count","EFO_0004309"
"460","CD36","rs3212005","55419043",3e-06,0.4687105,2.1884618,"[1.27-3.11]","cyclic adenosine monophosphate measurement","EFO_0010473"
"461","CD36","rs139906208","62422917",4e-16,0.020869,0.17006,"[0.13-0.21]","red blood cell distribution width","EFO_0005192"
"462","CD36","rs143722364","62512930",2e-10,0.009734,0.062366,"[0.043-0.081]","mean corpuscular hemoglobin concentration","EFO_0004528"
"463","CD36","rs11764390","62748999",4e-35,0.001948,0.024097,"[0.02-0.028]","mean platelet volume","EFO_0004584"
"464","CD36","rs34622902","62224646",2e-07,0.300413,1.56048,"[0.97-2.15]","gut microbiome measurement","EFO_0007874"
"465","CD36","rs139761834","31583621",2e-17,0.01184,0.1004,"[0.077-0.124]","platelet count","EFO_0004309"
"466","CD36","rs141901413","62518820",1e-10,0.004364,0.028257,"[0.02-0.037]","basophil count","EFO_0005090"
"467","CD36","rs74524365","63426769",3e-08,0.0102141,0.0550943,"[0.035-0.075]","electrocardiography","EFO_0004327"
"468","CD36","rs144703049","62426381",6e-11,NA,NA,NA,"hemoglobin measurement","EFO_0004509"
"469","CD36","rs11772036","62422753",7e-10,0.014519,0.08974,"[0.061-0.118]","platelet count","EFO_0004309"
"470","CD36","rs7800804","62319227",2e-08,NA,0.009073,NA,"protein measurement","EFO_0004747"
"471","CD36","rs3212018","64412459",1e-34,0.0036348752,0.044599354,"[0.037-0.052]","mean reticulocyte volume","EFO_0010701"
"472","CD36","rs4470970","47144808",6e-51,NA,NA,NA,"high density lipoprotein cholesterol measurement, alcohol consumption measurement","EFO_0004612, EFO_0007878"
"474","CD36","rs1049654","64412451",6e-12,0.0030956434,0.021263357,"[0.015-0.027]","mean reticulocyte volume","EFO_0010701"
"476","CD36","rs11770907","63370909",2e-08,NA,0.0497,NA,"platelet-derived growth factor BB measurement","EFO_0008264"
"477","CD36","rs3173805","36479761",2e-10,NA,NA,NA,"mean corpuscular hemoglobin","EFO_0004527"
"478","CD36","rs4731606",NA,NA,NA,NA,NA,NA,NA
"479","CD36","rs11974227","62500552",2e-51,NA,NA,NA,"platelet count","EFO_0004309"
"480","CD36","rs6961069","62746549",6e-36,0.001872,0.023444,"[0.02-0.027]","platelet count","EFO_0004309"
"481","CD36","rs148083940","62503140",2e-22,NA,NA,NA,"red blood cell density measurement","EFO_0007978"
"483","CD36","rs1058425","64336873",3e-09,0.002836361,0.016890367,"[0.011-0.022]","erythrocyte count","EFO_0004305"
"484","CD36","rs7796785","62744363",4e-11,0.008175,0.054114,"[0.038-0.07]","neutrophil count","EFO_0004833"
"485","CD36","rs181616813","64333701",2e-18,0.0036862749,0.032334,"[0.025-0.04]","red blood cell distribution width","EFO_0005192"
"486","CD36","rs6963015","34992004",6e-09,NA,NA,NA,"adolescent idiopathic scoliosis","EFO_0005423"
"487","CD36","rs28832309","38496969",2e-21,NA,NA,NA,"HDL cholesterol change measurement, physical activity","EFO_0007805, EFO_0003940"
"488","CD36","rs1049673","62740256",4e-74,0.001893,0.034498,"[0.031-0.038]","red blood cell distribution width","EFO_0005192"
"489","CD36","rs139811700","36507759",8e-11,NA,NA,NA,"erythrocyte count","EFO_0004305"
"490","IL1RN","rs13409360","17459459",5e-15,NA,NA,NA,"c-reactive protein measurement, triglyceride measurement","EFO_0004458, EFO_0004530"
"491","IL1RN","rs12711751","17460162",1e-11,NA,NA,NA,"c-reactive protein measurement, low density lipoprotein cholesterol measurement","EFO_0004458, EFO_0004611"
"492","IL1RN","rs1665190",NA,NA,NA,NA,NA,NA,NA
"493","IL1RN","rs3811055","56269869",2e-08,0.0025,0.0156,"[0.011-0.02]","low density lipoprotein cholesterol measurement","EFO_0004611"
"494","IL1RN","rs315934","17501015",7e-07,NA,0.078,"[0.047-0.109]","dysmenorrheic pain measurement","EFO_0007889"
"495","IL1RN","rs7563124","21837005",8e-20,0.004310614,0.03930806,"[0.031-0.048]","hematocrit","EFO_0004348"
"496","IL1RN","rs4252023","28932",2e-06,NA,0.03,NA,"igfbp-3 measurement","EFO_0004626"
"497","IL1RN","rs6761276","31397550",2e-14,0.02,0.19,"[0.15-0.23]","blood protein measurement","EFO_0007937"
"498","IL1RN","rs17042755","47498234",3e-25,NA,NA,NA,"acute myeloid leukemia","EFO_0000222"
"499","IL1RN","rs1530549","47498234",3e-25,NA,NA,NA,"acute myeloid leukemia","EFO_0000222"
"500","IL1RN","rs17042786","47498234",3e-25,NA,NA,NA,"acute myeloid leukemia","EFO_0000222"
"501","IL1RN","rs13027999","41350496",3e-06,0.0612258,0.285775,"[0.17-0.41]","interleukin-1 beta measurement","EFO_0004812"
"502","IL1RN","rs6714534","41350056",7e-09,0.066866,0.387678,"[0.26-0.52]","interleukin-1 beta measurement","EFO_0004812"
"503","IL1RN","rs6734238","63370310",3e-110,NA,0.2052,NA,"interleukin 1 receptor antagonist measurement","EFO_0004754"
"504","IL1RN","rs2029582","21757054",2e-21,0.003593147,0.03421784,"[0.027-0.041]","eosinophil count, neutrophil count","EFO_0004842, EFO_0004833"
"505","IL1RN","rs11898158","47498234",3e-25,NA,NA,NA,"acute myeloid leukemia","EFO_0000222"
"506","IL1RN","rs2305152","41350481",3e-06,0.0555863,0.261465,"[0.15-0.37]","interleukin-1 beta measurement","EFO_0004812"
